"longitude","latitude"
2680189.33170985,1253867.19607143
2537795.35931018,1150727.54195957
2760498.33549115,1192942.24505821
2576424.16002568,1195846.49133988
2592301.62082477,1119322.59572665
2665421.95248072,1211716.11926153
2784268.63745008,1152271.15061062
2500485.07647932,1118230.48031005
2735732.87126044,1145860.93385574
2707874.11274844,1123819.26596097
2590961.26333345,1186082.85750296
2632537.66616269,1106774.67016701
2641917.27153655,1155280.21583948
2499728.44887743,1116600.39766436
2681534.09063598,1224857.13012246
2600864.96466882,1200748.92533593
2774839.49909033,1133689.92230638
2565339.72628868,1117923.67692751
2639995.83392755,1159428.84387064
2655993.37523171,1184466.46398178
2697911.63464213,1121768.85966932
2581913.53309583,1184726.53951202
2546468.00335419,1148853.76113634
2624328.88018957,1093645.47595646
2557851.80704385,1143232.87864711
2621314.14791163,1149732.66247028
2572185.01259705,1105009.31719995
2500695.13701107,1119021.52147332
2537377.4802658,1195893.26184989
2602268.79365519,1197400.92956232
2562632.98342084,1098813.08985513
2606306.74612758,1266409.61170417
2649004.89924962,1248829.2377772
2740265.5312666,1193578.40035696
2668017.22114798,1211752.49375186
2545227.59282691,1198730.35901562
2672457.05904135,1197497.07232637
2600761.37251637,1199410.08291653
2575417.77765224,1197773.48823523
2784237.59252012,1152557.69634206
2750532.59653307,1205046.86352831
2708399.34180156,1122027.04653259
2713111.54184002,1237116.26423826
2564191.21571258,1103355.59185773
2635925.94853787,1160975.54046537
2683322.32086347,1246776.0404718
2742136.90408401,1235566.83082619
2573108.41616356,1082329.50207161
2667368.94706525,1151191.70887013
2582320.73788611,1145687.59040188
2688698.8743147,1125076.965856
2736374.1843354,1163379.89013194
2689451.56259512,1198559.36650588
2622608.31884765,1087467.6517958
2689263.49204788,1204357.09762289
2682132.16944689,1259930.64844028
2632239.57351573,1157604.52771651
2672321.4111949,1145529.82694662
2683559.11110794,1246655.72763589
2769543.56621918,1148570.96287098
2536995.70799541,1151758.64863545
2683124.6212261,1248536.89682364
2498227.70343273,1112133.51846395
2611460.59833514,1267765.02569524
2634801.97607905,1155247.13858604
2579050.63610802,1163076.52458018
2528720.97525492,1175553.61722921
2500635.3206056,1119814.77595471
2637958.10245409,1163074.1961204
2731386.52818453,1266988.13652177
2719037.48189228,1098483.0702039
2635638.67881657,1100529.28877269
2686116.20630577,1248890.63206138
2553630.20872798,1145983.78921099
2623987.20339011,1097001.9573409
2613344.18915274,1225566.35731164
2801002.66370453,1146404.29351724
2712939.88956303,1166533.1941768
2634842.87876547,1156635.74615604
2587793.53585289,1103554.47026372
2582833.91684147,1105412.57774097
2560544.02750444,1141047.62530732
2678697.48478923,1161365.18480294
2703658.83460811,1230657.58234415
2564707.23276486,1142349.5397068
2617255.96141572,1153523.02722146
2647790.64319096,1137635.22672882
2632945.35911738,1168929.56600398
2626573.41498017,1171269.24516414
2623264.17607626,1095694.37241399
2778044.58550483,1162797.40929956
2655046.24935676,1244725.65696841
2751797.70150037,1248721.49087272
2570627.51033759,1231970.76357284
2662132.37915328,1203494.33852597
2571380.5041239,1094592.05667242
2798413.6599537,1142997.97063468
2629886.72069073,1125322.49976546
2742269.6428947,1235620.16637532
2681542.46680082,1224710.70143877
2762125.69676833,1134280.83929043
2653809.82168865,1180754.52797912
2611461.43237723,1122002.86333736
2539322.11651093,1196003.2414229
2784102.09651828,1183849.85187755
2618711.84218296,1149740.82640274
2662634.9567782,1202579.59594691
2624391.09891666,1094110.07523797
2635896.7219702,1160364.05366633
2664104.40670885,1180517.24210955
2643312.17729561,1161178.46671807
2600370.35754417,1196224.24104001
2628690.93982978,1095498.96845996
2760667.33234377,1193047.98452044
2572581.02749594,1106296.71834431
2560719.78375702,1140400.81424865
2596494.5243687,1176549.89281873
2636688.93936641,1161914.84378622
2675353.36184506,1180347.58783116
2587996.29236213,1169081.55064504
2560854.37465292,1140937.87665935
2642071.49494265,1155316.08675013
2603123.34972637,1128712.29198188
2630365.87170066,1156309.92257284
2583393.71061476,1102846.05733476
2688439.7703495,1165799.18889251
2783345.19931091,1188134.9638819
2600628.82744823,1175600.70433127
2610445.96382177,1264183.11031784
2673006.94308303,1185379.51778642
2738079.94872915,1183610.53099872
2656438.03941393,1151634.12588935
2679521.36049324,1244882.16025616
2665969.36218562,1211461.21100032
2664503.81148424,1180666.60877442
2695125.11193508,1259522.34811251
