binom_name,filename
Foeniculum.vulgare,Foeniculum.vulgare_reg_covariate_ensemble.tif
Fragaria.vesca,Fragaria.vesca_reg_covariate_ensemble.tif
Frangula.alnus,Frangula.alnus_reg_covariate_ensemble.tif
Fraxinus.excelsior,Fraxinus.excelsior_reg_covariate_ensemble.tif
Fraxinus.ornus,Fraxinus.ornus_reg_covariate_ensemble.tif
Fumaria.officinalis,Fumaria.officinalis_reg_covariate_ensemble.tif
Galega.officinalis,Galega.officinalis_reg_covariate_ensemble.tif
Galeopsis.ladanum,Galeopsis.ladanum_reg_covariate_ensemble.tif
Galeopsis.tetrahit,Galeopsis.tetrahit_reg_covariate_ensemble.tif
Galium.aparine,Galium.aparine_reg_covariate_ensemble.tif
Galium.mollugo,Galium.mollugo_reg_covariate_ensemble.tif
Galium.odoratum,Galium.odoratum_reg_covariate_ensemble.tif
Galium.verum,Galium.verum_reg_covariate_ensemble.tif
Genista.germanica,Genista.germanica_reg_covariate_ensemble.tif
Genista.tinctoria,Genista.tinctoria_reg_covariate_ensemble.tif
Gentiana.acaulis,Gentiana.acaulis_reg_covariate_ensemble.tif
Gentiana.asclepiadea,Gentiana.asclepiadea_reg_covariate_ensemble.tif
Gentiana.lutea,Gentiana.lutea_reg_covariate_ensemble.tif
Gentiana.punctata,Gentiana.punctata_reg_covariate_ensemble.tif
Gentiana.purpurea,Gentiana.purpurea_reg_covariate_ensemble.tif
Geranium.robertianum,Geranium.robertianum_reg_covariate_ensemble.tif
Geranium.sanguineum,Geranium.sanguineum_reg_covariate_ensemble.tif
Geum.rivale,Geum.rivale_reg_covariate_ensemble.tif
Geum.urbanum,Geum.urbanum_reg_covariate_ensemble.tif
Glechoma.hederacea,Glechoma.hederacea_reg_covariate_ensemble.tif
Gnaphalium.sylvaticum,Gnaphalium.sylvaticum_reg_covariate_ensemble.tif
Gratiola.officinalis,Gratiola.officinalis_reg_covariate_ensemble.tif
Hedera.helix,Hedera.helix_reg_covariate_ensemble.tif
Helianthemum.nummularium,Helianthemum.nummularium_reg_covariate_ensemble.tif
Helianthus.annuus,Helianthus.annuus_reg_covariate_ensemble.tif
Helianthus.tuberosus,Helianthus.tuberosus_reg_covariate_ensemble.tif
Heliotropium.europaeum,Heliotropium.europaeum_reg_covariate_ensemble.tif
Helleborus.niger,Helleborus.niger_reg_covariate_ensemble.tif
Hepatica.nobilis,Hepatica.nobilis_reg_covariate_ensemble.tif
Heracleum.sphondylium,Heracleum.sphondylium_reg_covariate_ensemble.tif
Herniaria.glabra,Herniaria.glabra_reg_covariate_ensemble.tif
Herniaria.hirsuta,Herniaria.hirsuta_reg_covariate_ensemble.tif
Hesperis.matronalis,Hesperis.matronalis_reg_covariate_ensemble.tif
Hieracium.pilosella,Hieracium.pilosella_reg_covariate_ensemble.tif
Hordeum.vulgare,Hordeum.vulgare_reg_covariate_ensemble.tif
Hottonia.palustris,Hottonia.palustris_reg_covariate_ensemble.tif
Humulus.lupulus,Humulus.lupulus_reg_covariate_ensemble.tif
Hydrocotyle.vulgaris,Hydrocotyle.vulgaris_reg_covariate_ensemble.tif
Hyoscyamus.niger,Hyoscyamus.niger_reg_covariate_ensemble.tif
Hypericum.perforatum,Hypericum.perforatum_reg_covariate_ensemble.tif
Hyssopus.officinalis,Hyssopus.officinalis_reg_covariate_ensemble.tif
Ilex.aquifolium,Ilex.aquifolium_reg_covariate_ensemble.tif
Isatis.tinctoria,Isatis.tinctoria_reg_covariate_ensemble.tif
Juglans.regia,Juglans.regia_reg_covariate_ensemble.tif
Juniperus.communis,Juniperus.communis_reg_covariate_ensemble.tif
Juniperus.sabina,Juniperus.sabina_reg_covariate_ensemble.tif
Knautia.arvensis,Knautia.arvensis_reg_covariate_ensemble.tif
