covariate,species,avg_importance,covariate_long,attribute,radius_m
ch_edaphic_eivdescombes_pixel_d_1500,Melampyrum cristatum,0.328053004381686,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Hyoscyamus niger,0.140288244601787,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Epilobium fleischeri,0.122716791080803,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Lilium bulbiferum,0.109291977802852,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Salvia officinalis,0.213612859198486,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Doronicum pardalianches,0.208328059698204,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Buxus sempervirens,0.0979633818266261,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Sorbus domestica,0.250162011733,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Rhodonia placenta,0.375839397573781,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Volvariella surrecta,0.398962695298827,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Achillea nobilis,0.233351320007996,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Parmeliella triptophylla,0.193446957810265,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Lythrum hyssopifolia,0.422662280990035,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Asparagus officinalis,0.0710918651879479,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Poa badensis,0.367353145346033,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Galeopsis ladanum,0.11879471522212,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Petrocallis pyrenaica,0.104960718368952,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Silene otites,0.0923749016978355,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Simocybe centunculus,0.1682945624914,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Castanea sativa,0.0904868403511006,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Cladonia rei,0.223334244540973,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Taraxacum dissectum,0.153810220520698,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Hypochaeris maculata,0.275972678539705,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Dipsacus fullonum,0.104279029709394,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Galium glaucum,0.118622229774761,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Rinodina exigua,0.488332479606559,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Ononis pusilla,0.170747787750712,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Verbascum blattaria,0.160613717993035,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Silene suecica,0.210639171945011,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Peucedanum cervaria,0.191766974881504,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Ailanthus altissima,0.0620786043527093,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Anacamptis pyramidalis,0.225853484994814,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Cytisus scoparius,0.0373192207464579,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Ajuga chamaepitys,0.285976787843372,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Artemisia glacialis,0.275702542715134,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Xerolenta obvia,0.241858443070735,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Sphagnum capillifolium,0.169205464097951,soil aeration,"",1500
ch_edaphic_eivdescombes_pixel_d_1500,Pulsatilla vulgaris,0.252119445052001,soil aeration,"",1500
